id,Weekly_Sales
1_1_2012-11-02,8000.14
1_1_2012-11-09,6933.861
1_1_2012-11-16,9881.089
1_1_2012-11-23,10321.346
1_1_2012-11-30,28390.438
1_1_2012-12-07,6811.5693
1_1_2012-12-14,5823.177
1_1_2012-12-21,43208.496
1_1_2012-12-28,45015.45
1_1_2013-01-04,4734.543
1_1_2013-01-11,9310.501
1_1_2013-01-18,7605.0405
1_1_2013-01-25,18785.658
1_1_2013-02-01,9229.703
1_1_2013-02-08,2147.2422
1_1_2013-02-15,6512.305
1_1_2013-02-22,2901.9353
1_1_2013-03-01,10892.86
1_1_2013-03-08,8021.224
1_1_2013-03-15,5876.25
1_1_2013-03-22,3553.8079
1_1_2013-03-29,4023.3923
1_1_2013-04-05,10199.729
1_1_2013-04-12,11456.555
1_1_2013-04-19,86072.2
1_1_2013-04-26,18139.693
1_1_2013-05-03,25519.525
1_1_2013-05-10,11070.704
1_1_2013-05-17,14424.328
1_1_2013-05-24,5658.8745
1_1_2013-05-31,5485.5205
1_1_2013-06-07,15234.13
1_1_2013-06-14,14796.078
1_1_2013-06-21,10444.825
1_1_2013-06-28,35751.504
1_1_2013-07-05,4637.017
1_1_2013-07-12,45633.31
1_1_2013-07-19,7539.353
1_1_2013-07-26,5133.142
1_2_2012-11-02,18378.104
1_2_2012-11-09,45569.54
1_2_2012-11-16,11196.876
1_2_2012-11-23,23953.24
1_2_2012-11-30,27646.764
1_2_2012-12-07,8654.498
1_2_2012-12-14,23715.26
1_2_2012-12-21,27754.105
1_2_2012-12-28,20131.29
1_2_2013-01-04,17557.732
1_2_2013-01-11,15924.1045
1_2_2013-01-18,7719.967
1_2_2013-01-25,36079.184
1_2_2013-02-01,29661.717
1_2_2013-02-08,22987.182
1_2_2013-02-15,15557.694
1_2_2013-02-22,6953.3164
1_2_2013-03-01,11765.174
1_2_2013-03-08,8485.504
1_2_2013-03-15,21031.152
1_2_2013-03-22,37528.69
1_2_2013-03-29,9306.868
1_2_2013-04-05,11726.287
1_2_2013-04-12,10692.919
1_2_2013-04-19,5682.6216
1_2_2013-04-26,4107.853
1_2_2013-05-03,9403.835
1_2_2013-05-10,7952.3413
1_2_2013-05-17,6886.062
1_2_2013-05-24,9833.29
1_2_2013-05-31,10273.547
1_2_2013-06-07,28723.945
1_2_2013-06-14,6801.0728
1_2_2013-06-21,5858.2515
1_2_2013-06-28,44257.082
1_2_2013-07-05,45520.36
1_2_2013-07-12,4686.7437
1_2_2013-07-19,9262.702
1_2_2013-07-26,7557.2417
1_3_2012-11-02,18902.053
1_3_2012-11-09,3969.579
1_3_2012-11-16,2099.4443
1_3_2012-11-23,6464.507
1_3_2012-11-30,2854.1377
1_3_2012-12-07,10845.062
1_3_2012-12-14,8785.657
1_3_2012-12-21,5681.099
1_3_2012-12-28,3506.0103
1_3_2013-01-04,3975.5947
1_3_2013-01-11,10151.93
1_3_2013-01-18,11408.756
1_3_2013-01-25,85224.83
1_3_2013-02-01,17410.264
1_3_2013-02-08,25471.729
1_3_2013-02-15,11012.149
1_3_2013-02-22,14246.054
1_3_2013-03-01,5832.948
1_3_2013-03-08,5475.024
1_3_2013-03-15,15186.331
1_3_2013-03-22,14767.492
1_3_2013-03-29,10428.428
1_3_2013-04-05,35797.945
1_3_2013-04-12,4620.776
1_3_2013-04-19,46153.465
1_3_2013-04-26,7595.1587
1_3_2013-05-03,16812.746
1_3_2013-05-10,48680.664
1_3_2013-05-17,11662.696
1_3_2013-05-24,25890.783
1_3_2013-05-31,26269.588
1_3_2013-06-07,8928.814
1_3_2013-06-14,24746.35
1_3_2013-06-21,28028.422
1_3_2013-06-28,24428.996
1_3_2013-07-05,18131.068
1_3_2013-07-12,17232.63
1_3_2013-07-19,7994.283
1_3_2013-07-26,37925.81
1_4_2012-11-02,29912.469
1_4_2012-11-09,30072.896
1_4_2012-11-16,14842.601
1_4_2012-11-23,4377.3936
1_4_2012-11-30,11950.302
1_4_2012-12-07,8759.823
1_4_2012-12-14,21134.434
1_4_2012-12-21,37447.973
1_4_2012-12-28,9581.183
1_4_2013-01-04,12000.602
1_4_2013-01-11,10943.671
1_4_2013-01-18,5824.7104
1_4_2013-01-25,4356.5366
1_4_2013-02-01,9609.942
1_4_2013-02-08,8226.658
1_4_2013-02-15,7160.3784
1_4_2013-02-22,10107.6045
1_4_2013-03-01,10547.861
1_4_2013-03-08,29670.857
1_4_2013-03-15,7038.087
1_4_2013-03-22,5961.447
1_4_2013-03-29,48159.027
1_4_2013-04-05,45055.4
1_4_2013-04-12,4961.061
1_4_2013-04-19,9549.714
1_4_2013-04-26,7862.9946
1_4_2013-05-03,19546.6
1_4_2013-05-10,9456.219
1_4_2013-05-17,2484.0012
1_4_2013-05-24,6751.588
1_4_2013-05-31,3128.4524
1_4_2013-06-07,10482.838
1_4_2013-06-14,13101.48
1_4_2013-06-21,5955.4155
1_4_2013-06-28,3643.7004
1_4_2013-07-05,4170.6885
1_4_2013-07-12,13431.353
1_4_2013-07-19,11683.07
1_4_2013-07-26,77694.305
1_5_2012-11-02,17709.568
1_5_2012-11-09,25643.22
1_5_2012-11-16,11305.285
1_5_2012-11-23,14788.292
1_5_2012-11-30,5817.6133
1_5_2012-12-07,5712.038
1_5_2012-12-14,15430.009
1_5_2012-12-21,15127.51
1_5_2012-12-28,10633.933
1_5_2013-01-04,36170.242
1_5_2013-01-11,5053.681
1_5_2013-01-18,50367.81
1_5_2013-01-25,7765.8706
1_5_2013-02-01,17327.074
1_5_2013-02-08,46208.754
1_5_2013-02-15,11667.643
1_5_2013-02-22,24260.77
1_5_2013-03-01,27765.777
1_5_2013-03-08,8843.033
1_5_2013-03-15,24633.297
1_5_2013-03-22,27942.639
1_5_2013-03-29,21437.549
1_5_2013-04-05,17861.71
1_5_2013-04-12,16205.782
1_5_2013-04-19,7908.502
1_5_2013-04-26,36267.72
1_5_2013-05-03,29850.254
1_5_2013-05-10,29802.1
1_5_2013-05-17,15928.086
1_5_2013-05-24,7021.128
1_5_2013-05-31,11864.5205
1_5_2013-06-07,8674.043
1_5_2013-06-14,21219.686
1_5_2013-06-21,37918.55
1_5_2013-06-28,9495.401
1_5_2013-07-05,11914.82
1_5_2013-07-12,10881.452
1_5_2013-07-19,5871.1567
1_5_2013-07-26,4296.386
1_6_2012-11-02,9524.161
1_6_2012-11-09,8140.8765
1_6_2012-11-16,7074.597
1_6_2012-11-23,10021.823
1_6_2012-11-30,10462.08
1_6_2012-12-07,29027.967
1_6_2012-12-14,6952.3057
1_6_2012-12-21,5891.651
1_6_2012-12-28,44456.29
1_6_2013-01-04,45268.52
1_6_2013-01-11,4875.28
1_6_2013-01-18,9383.456
1_6_2013-01-25,7745.777
1_6_2013-02-01,18926.39
1_6_2013-02-08,4075.5464
1_6_2013-02-15,9370.4375
1_6_2013-02-22,2287.9775
1_6_2013-03-01,6653.042
1_6_2013-03-08,3042.6714
1_6_2013-03-15,11033.595
1_6_2013-03-22,14403.686
1_6_2013-03-29,5869.634
1_6_2013-04-05,3694.5435
1_6_2013-04-12,4084.9072
